modelo,qtd_imagens,epoca,loss,mAP
Custom_FasterRCNN,12847,20,0.26832646264958737,0.2638393044471741
Custom_FasterRCNN,12847,30,0.2464936487191352,0.31260526180267334
Custom_FasterRCNN,12847,40,0.2282808352984599,0.34397852420806885
Custom_FasterRCNN,12847,50,0.21351968860300027,0.35185006260871887
Custom_FasterRCNN,12847,60,0.20130849423915592,0.3611453175544739
Custom_FasterRCNN,12847,70,0.1901708851332095,0.37359848618507385
Custom_FasterRCNN,12847,80,0.18149094298407806,0.38171058893203735
Custom_FasterRCNN,12847,90,0.17331566502205767,0.38755345344543457
Custom_FasterRCNN,12847,100,0.16623227498424586,0.39188694953918457
Custom_FasterRCNN,12847,110,0.1598871070613612,0.3944474458694458
Custom_FasterRCNN,12847,120,0.1553296610453532,0.3952343165874481
Custom_FasterRCNN,12847,130,0.15050062716970988,0.39935892820358276
Custom_FasterRCNN,12847,140,0.1449838540706765,0.39301565289497375
Custom_FasterRCNN,12847,150,0.140919272486695,0.3966650068759918
Custom_FasterRCNN,14453,10,0.3012031927638877,0.1863705962896347
Custom_FasterRCNN,14453,20,0.26514357635009606,0.2822209298610687
Custom_FasterRCNN,14453,30,0.24436042421555096,0.3188120424747467
Custom_FasterRCNN,14453,40,0.22812811974271208,0.34512466192245483
Custom_FasterRCNN,14453,50,0.21347451605628023,0.36079347133636475
Custom_FasterRCNN,14453,60,0.20152700804503618,0.37058570981025696
Custom_FasterRCNN,14453,70,0.19108497676134636,0.383330762386322
Custom_FasterRCNN,14453,80,0.1818945429955436,0.38879474997520447
Custom_FasterRCNN,14453,90,0.17352615184752287,0.3879956007003784
Custom_FasterRCNN,14453,100,0.16659954018824924,0.397127628326416
Custom_FasterRCNN,14453,110,0.16123738418440375,0.40152350068092346
Custom_FasterRCNN,14453,120,0.1548399854847024,0.388799250125885
Custom_FasterRCNN,14453,130,0.1500877896571054,0.4042227864265442
Custom_FasterRCNN,14453,140,0.14568126013716765,0.40603068470954895
Custom_FasterRCNN,14453,150,0.1410961578707252,0.40930676460266113
Custom_FasterRCNN,16059,10,0.2919752590091105,0.20738647878170013
Custom_FasterRCNN,16059,20,0.2594622704552939,0.29293355345726013
Custom_FasterRCNN,16059,30,0.23785868264823795,0.338390588760376
Custom_FasterRCNN,16059,40,0.2210797558267753,0.36296042799949646
Custom_FasterRCNN,16059,50,0.2064319641229166,0.38312679529190063
Custom_FasterRCNN,16059,60,0.19521679469491857,0.3949176073074341
Custom_FasterRCNN,16059,70,0.1849097660427312,0.39349859952926636
Custom_FasterRCNN,16059,80,0.1762804666986741,0.40540677309036255
Custom_FasterRCNN,16059,90,0.16865176823272174,0.404935359954834
Custom_FasterRCNN,16059,100,0.16201654425358392,0.41063928604125977
Custom_FasterRCNN,16059,110,0.1562755836463307,0.4119928777217865
Custom_FasterRCNN,16059,120,0.15189174761572682,0.4162535071372986
Custom_FasterRCNN,16059,130,0.14688491733722478,0.4152285158634186
Custom_FasterRCNN,16059,140,0.14232764491047042,0.4164268374443054
